term,domain,definition,example,synonyms,difficulty,tags,source
Secondary Findings (analysis context),Clinical Genomics,Secondary findings are pathogenic variants identified in genes unrelated to the primary reason for testing but deemed clinically actionable.,Secondary findings were reported according to ACMG recommendations.,incidental findings,Advanced,clinical_reporting;ethics,ACMG Recommendations; NCBI Bookshelf – Genetics in Medicine
Workflow Management System (analysis context),Bioinformatics,A workflow management system automates and documents multi-step computational analyses for reproducibility and scalability.,The pipeline was implemented using a workflow management system.,,Intermediate,pipelines;reproducibility,Nature Biotechnology; EMBL-EBI Training
Containerization (analysis context),Bioinformatics,Containerization packages software and dependencies into isolated environments to ensure reproducible computation.,Containerization enabled reproducible execution across clusters.,,Intermediate,reproducibility;software,Nature Methods; Docker Documentation
FAIR Principles (analysis context),Data Management,"FAIR principles describe guidelines for making scientific data Findable, Accessible, Interoperable, and Reusable.",Datasets were curated according to FAIR principles.,,Beginner,data_management;reproducibility,Nature Scientific Data; GO FAIR Initiative
Bioinformatics (analysis context),Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ (analysis context),Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM (analysis context),Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF (analysis context),Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment (analysis context),Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling (analysis context),Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization (analysis context),Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect (analysis context),Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate (analysis context),Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology (analysis context),Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction (analysis context),Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
Network Analysis (analysis context),Systems Biology,Network analysis applies graph theory to model biological relationships and identify key nodes or modules.,Network analysis identified hub genes.,,Intermediate,systems_biology;networks,Nature Reviews Genetics
Multi-omics Integration (analysis context),Systems Biology,Multi-omics integration combines data from multiple omics layers to obtain a comprehensive view of biological systems.,Multi-omics integration revealed pathway-level dysregulation.,,Advanced,systems_biology;multiomics,Nature Reviews Genetics
HGVS Nomenclature (analysis context),Clinical Genomics,"HGVS nomenclature provides standardized guidelines for describing sequence variants at the DNA, RNA, and protein levels.",Variants were reported using HGVS nomenclature.,,Intermediate,clinical_reporting;variants,Human Genome Variation Society; ACMG Resources
ClinVar (analysis context),Clinical Genomics,ClinVar is a public archive that aggregates information about genomic variation and its relationship to human health.,The variant interpretation was reviewed in ClinVar.,,Beginner,clinical_databases;variants,NCBI ClinVar Documentation
Secondary Findings (analysis context),Clinical Genomics,Secondary findings are pathogenic variants identified in genes unrelated to the primary reason for testing but deemed clinically actionable.,Secondary findings were reported according to ACMG recommendations.,incidental findings,Advanced,clinical_reporting;ethics,ACMG Recommendations; NCBI Bookshelf – Genetics in Medicine
Workflow Management System (analysis context),Bioinformatics,A workflow management system automates and documents multi-step computational analyses for reproducibility and scalability.,The pipeline was implemented using a workflow management system.,,Intermediate,pipelines;reproducibility,Nature Biotechnology; EMBL-EBI Training
Containerization (analysis context),Bioinformatics,Containerization packages software and dependencies into isolated environments to ensure reproducible computation.,Containerization enabled reproducible execution across clusters.,,Intermediate,reproducibility;software,Nature Methods; Docker Documentation
FAIR Principles (analysis context),Data Management,"FAIR principles describe guidelines for making scientific data Findable, Accessible, Interoperable, and Reusable.",Datasets were curated according to FAIR principles.,,Beginner,data_management;reproducibility,Nature Scientific Data; GO FAIR Initiative
Bioinformatics (analysis context),Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ (analysis context),Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM (analysis context),Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF (analysis context),Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment (analysis context),Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling (analysis context),Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization (analysis context),Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect (analysis context),Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate (analysis context),Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology (analysis context),Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction (analysis context),Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
Network Analysis (analysis context),Systems Biology,Network analysis applies graph theory to model biological relationships and identify key nodes or modules.,Network analysis identified hub genes.,,Intermediate,systems_biology;networks,Nature Reviews Genetics
Multi-omics Integration (analysis context),Systems Biology,Multi-omics integration combines data from multiple omics layers to obtain a comprehensive view of biological systems.,Multi-omics integration revealed pathway-level dysregulation.,,Advanced,systems_biology;multiomics,Nature Reviews Genetics
HGVS Nomenclature (analysis context),Clinical Genomics,"HGVS nomenclature provides standardized guidelines for describing sequence variants at the DNA, RNA, and protein levels.",Variants were reported using HGVS nomenclature.,,Intermediate,clinical_reporting;variants,Human Genome Variation Society; ACMG Resources
ClinVar (analysis context),Clinical Genomics,ClinVar is a public archive that aggregates information about genomic variation and its relationship to human health.,The variant interpretation was reviewed in ClinVar.,,Beginner,clinical_databases;variants,NCBI ClinVar Documentation
Secondary Findings (analysis context),Clinical Genomics,Secondary findings are pathogenic variants identified in genes unrelated to the primary reason for testing but deemed clinically actionable.,Secondary findings were reported according to ACMG recommendations.,incidental findings,Advanced,clinical_reporting;ethics,ACMG Recommendations; NCBI Bookshelf – Genetics in Medicine
Workflow Management System (analysis context),Bioinformatics,A workflow management system automates and documents multi-step computational analyses for reproducibility and scalability.,The pipeline was implemented using a workflow management system.,,Intermediate,pipelines;reproducibility,Nature Biotechnology; EMBL-EBI Training
Containerization (analysis context),Bioinformatics,Containerization packages software and dependencies into isolated environments to ensure reproducible computation.,Containerization enabled reproducible execution across clusters.,,Intermediate,reproducibility;software,Nature Methods; Docker Documentation
FAIR Principles (analysis context),Data Management,"FAIR principles describe guidelines for making scientific data Findable, Accessible, Interoperable, and Reusable.",Datasets were curated according to FAIR principles.,,Beginner,data_management;reproducibility,Nature Scientific Data; GO FAIR Initiative
Bioinformatics (analysis context),Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ (analysis context),Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM (analysis context),Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF (analysis context),Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment (analysis context),Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling (analysis context),Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization (analysis context),Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect (analysis context),Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate (analysis context),Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology (analysis context),Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction (analysis context),Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
Network Analysis (analysis context),Systems Biology,Network analysis applies graph theory to model biological relationships and identify key nodes or modules.,Network analysis identified hub genes.,,Intermediate,systems_biology;networks,Nature Reviews Genetics
Multi-omics Integration (analysis context),Systems Biology,Multi-omics integration combines data from multiple omics layers to obtain a comprehensive view of biological systems.,Multi-omics integration revealed pathway-level dysregulation.,,Advanced,systems_biology;multiomics,Nature Reviews Genetics
HGVS Nomenclature (analysis context),Clinical Genomics,"HGVS nomenclature provides standardized guidelines for describing sequence variants at the DNA, RNA, and protein levels.",Variants were reported using HGVS nomenclature.,,Intermediate,clinical_reporting;variants,Human Genome Variation Society; ACMG Resources
ClinVar (analysis context),Clinical Genomics,ClinVar is a public archive that aggregates information about genomic variation and its relationship to human health.,The variant interpretation was reviewed in ClinVar.,,Beginner,clinical_databases;variants,NCBI ClinVar Documentation
Secondary Findings (analysis context),Clinical Genomics,Secondary findings are pathogenic variants identified in genes unrelated to the primary reason for testing but deemed clinically actionable.,Secondary findings were reported according to ACMG recommendations.,incidental findings,Advanced,clinical_reporting;ethics,ACMG Recommendations; NCBI Bookshelf – Genetics in Medicine
Workflow Management System (analysis context),Bioinformatics,A workflow management system automates and documents multi-step computational analyses for reproducibility and scalability.,The pipeline was implemented using a workflow management system.,,Intermediate,pipelines;reproducibility,Nature Biotechnology; EMBL-EBI Training
Containerization (analysis context),Bioinformatics,Containerization packages software and dependencies into isolated environments to ensure reproducible computation.,Containerization enabled reproducible execution across clusters.,,Intermediate,reproducibility;software,Nature Methods; Docker Documentation
FAIR Principles (analysis context),Data Management,"FAIR principles describe guidelines for making scientific data Findable, Accessible, Interoperable, and Reusable.",Datasets were curated according to FAIR principles.,,Beginner,data_management;reproducibility,Nature Scientific Data; GO FAIR Initiative
Bioinformatics (analysis context),Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ (analysis context),Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM (analysis context),Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF (analysis context),Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment (analysis context),Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling (analysis context),Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization (analysis context),Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect (analysis context),Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate (analysis context),Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology (analysis context),Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction (analysis context),Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
Network Analysis (analysis context),Systems Biology,Network analysis applies graph theory to model biological relationships and identify key nodes or modules.,Network analysis identified hub genes.,,Intermediate,systems_biology;networks,Nature Reviews Genetics
Multi-omics Integration (analysis context),Systems Biology,Multi-omics integration combines data from multiple omics layers to obtain a comprehensive view of biological systems.,Multi-omics integration revealed pathway-level dysregulation.,,Advanced,systems_biology;multiomics,Nature Reviews Genetics
HGVS Nomenclature (analysis context),Clinical Genomics,"HGVS nomenclature provides standardized guidelines for describing sequence variants at the DNA, RNA, and protein levels.",Variants were reported using HGVS nomenclature.,,Intermediate,clinical_reporting;variants,Human Genome Variation Society; ACMG Resources
ClinVar (analysis context),Clinical Genomics,ClinVar is a public archive that aggregates information about genomic variation and its relationship to human health.,The variant interpretation was reviewed in ClinVar.,,Beginner,clinical_databases;variants,NCBI ClinVar Documentation
Secondary Findings (analysis context),Clinical Genomics,Secondary findings are pathogenic variants identified in genes unrelated to the primary reason for testing but deemed clinically actionable.,Secondary findings were reported according to ACMG recommendations.,incidental findings,Advanced,clinical_reporting;ethics,ACMG Recommendations; NCBI Bookshelf – Genetics in Medicine
Workflow Management System (analysis context),Bioinformatics,A workflow management system automates and documents multi-step computational analyses for reproducibility and scalability.,The pipeline was implemented using a workflow management system.,,Intermediate,pipelines;reproducibility,Nature Biotechnology; EMBL-EBI Training
Containerization (analysis context),Bioinformatics,Containerization packages software and dependencies into isolated environments to ensure reproducible computation.,Containerization enabled reproducible execution across clusters.,,Intermediate,reproducibility;software,Nature Methods; Docker Documentation
FAIR Principles (analysis context),Data Management,"FAIR principles describe guidelines for making scientific data Findable, Accessible, Interoperable, and Reusable.",Datasets were curated according to FAIR principles.,,Beginner,data_management;reproducibility,Nature Scientific Data; GO FAIR Initiative
Bioinformatics (analysis context),Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ (analysis context),Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM (analysis context),Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF (analysis context),Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment (analysis context),Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling (analysis context),Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization (analysis context),Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect (analysis context),Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate (analysis context),Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology (analysis context),Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction (analysis context),Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
Network Analysis (analysis context),Systems Biology,Network analysis applies graph theory to model biological relationships and identify key nodes or modules.,Network analysis identified hub genes.,,Intermediate,systems_biology;networks,Nature Reviews Genetics
Multi-omics Integration (analysis context),Systems Biology,Multi-omics integration combines data from multiple omics layers to obtain a comprehensive view of biological systems.,Multi-omics integration revealed pathway-level dysregulation.,,Advanced,systems_biology;multiomics,Nature Reviews Genetics
HGVS Nomenclature (analysis context),Clinical Genomics,"HGVS nomenclature provides standardized guidelines for describing sequence variants at the DNA, RNA, and protein levels.",Variants were reported using HGVS nomenclature.,,Intermediate,clinical_reporting;variants,Human Genome Variation Society; ACMG Resources
ClinVar (analysis context),Clinical Genomics,ClinVar is a public archive that aggregates information about genomic variation and its relationship to human health.,The variant interpretation was reviewed in ClinVar.,,Beginner,clinical_databases;variants,NCBI ClinVar Documentation
Secondary Findings (analysis context),Clinical Genomics,Secondary findings are pathogenic variants identified in genes unrelated to the primary reason for testing but deemed clinically actionable.,Secondary findings were reported according to ACMG recommendations.,incidental findings,Advanced,clinical_reporting;ethics,ACMG Recommendations; NCBI Bookshelf – Genetics in Medicine
Workflow Management System (analysis context),Bioinformatics,A workflow management system automates and documents multi-step computational analyses for reproducibility and scalability.,The pipeline was implemented using a workflow management system.,,Intermediate,pipelines;reproducibility,Nature Biotechnology; EMBL-EBI Training
Containerization (analysis context),Bioinformatics,Containerization packages software and dependencies into isolated environments to ensure reproducible computation.,Containerization enabled reproducible execution across clusters.,,Intermediate,reproducibility;software,Nature Methods; Docker Documentation
FAIR Principles (analysis context),Data Management,"FAIR principles describe guidelines for making scientific data Findable, Accessible, Interoperable, and Reusable.",Datasets were curated according to FAIR principles.,,Beginner,data_management;reproducibility,Nature Scientific Data; GO FAIR Initiative
Bioinformatics (analysis context),Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ (analysis context),Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM (analysis context),Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF (analysis context),Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment (analysis context),Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling (analysis context),Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization (analysis context),Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect (analysis context),Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate (analysis context),Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology (analysis context),Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction (analysis context),Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
Network Analysis (analysis context),Systems Biology,Network analysis applies graph theory to model biological relationships and identify key nodes or modules.,Network analysis identified hub genes.,,Intermediate,systems_biology;networks,Nature Reviews Genetics
Multi-omics Integration (analysis context),Systems Biology,Multi-omics integration combines data from multiple omics layers to obtain a comprehensive view of biological systems.,Multi-omics integration revealed pathway-level dysregulation.,,Advanced,systems_biology;multiomics,Nature Reviews Genetics
HGVS Nomenclature (analysis context),Clinical Genomics,"HGVS nomenclature provides standardized guidelines for describing sequence variants at the DNA, RNA, and protein levels.",Variants were reported using HGVS nomenclature.,,Intermediate,clinical_reporting;variants,Human Genome Variation Society; ACMG Resources
ClinVar (analysis context),Clinical Genomics,ClinVar is a public archive that aggregates information about genomic variation and its relationship to human health.,The variant interpretation was reviewed in ClinVar.,,Beginner,clinical_databases;variants,NCBI ClinVar Documentation
Secondary Findings (analysis context),Clinical Genomics,Secondary findings are pathogenic variants identified in genes unrelated to the primary reason for testing but deemed clinically actionable.,Secondary findings were reported according to ACMG recommendations.,incidental findings,Advanced,clinical_reporting;ethics,ACMG Recommendations; NCBI Bookshelf – Genetics in Medicine
Workflow Management System (analysis context),Bioinformatics,A workflow management system automates and documents multi-step computational analyses for reproducibility and scalability.,The pipeline was implemented using a workflow management system.,,Intermediate,pipelines;reproducibility,Nature Biotechnology; EMBL-EBI Training
Containerization (analysis context),Bioinformatics,Containerization packages software and dependencies into isolated environments to ensure reproducible computation.,Containerization enabled reproducible execution across clusters.,,Intermediate,reproducibility;software,Nature Methods; Docker Documentation
FAIR Principles (analysis context),Data Management,"FAIR principles describe guidelines for making scientific data Findable, Accessible, Interoperable, and Reusable.",Datasets were curated according to FAIR principles.,,Beginner,data_management;reproducibility,Nature Scientific Data; GO FAIR Initiative
Bioinformatics (analysis context),Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ (analysis context),Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM (analysis context),Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF (analysis context),Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment (analysis context),Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling (analysis context),Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization (analysis context),Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect (analysis context),Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate (analysis context),Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology (analysis context),Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction (analysis context),Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
